company,job_url,location,page_index,posted,salary,search_query,source_url,title
UNITED MICROELECTRONICS CORPORATION (Singapore Branch),https://www.mycareersfuture.gov.sg/job/engineering/semiconductor-data-analyst-engineer-united-microelectronics-corporation-de689ae3010fc23e40f6150593198db2?source=MCF&event=Search,East,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Semiconductor Data Analyst Engineer
NTT SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/junior-data-analyst-developer-contract-ntt-singapore-7b2ecb2a58b9f5c714da0e47dd8f99e2?source=MCF&event=Search,Central,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Junior Data Analyst  /  Developer_ Contract
ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-allegis-group-singapore-8603041d61aec276246341aefadf1bb9?source=MCF&event=Search,Islandwide,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Data Analyst
RECRUIT EXPRESS PTE LTD,https://www.mycareersfuture.gov.sg/job/banking-finance/6-months-data-analyst-eef-recruit-express-df07b9e55cf03757a5645e8f706362f3?source=MCF&event=Search,Central,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,6 Months Data Analyst (Entry Level) #EEF
FINVENT,https://www.mycareersfuture.gov.sg/job/admin/wfh-data-analysis-officer-finvent-f294cad2c35669ad46f6587501c0f998?source=MCF&event=Search,Islandwide,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,WFH DATA ANALYSIS OFFICER
EVO OUTSOURCING SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/project-analyst-evo-outsourcing-solutions-a6e924f837cd1c1a7d5551cd5e890bc9?source=MCF&event=Search,Central,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Project Analyst
TALENTVUE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/accounting/senior-financial-analyst-talentvue-fd6cf7bdf7bd010a9518c992a5881013?source=MCF&event=Search,Islandwide,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,"Senior / Financial Analyst (Tuas, Costing)"
BIPO SERVICE (SINGAPORE) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/accounting/financial-analyst-waters-pacific-0ad7f80885edeb9bdc61167a2340eada?source=MCF&event=Search,East,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,FINANCIAL ANALYST
HAYS SPECIALIST RECRUITMENT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/human-resources/senior-hris-analyst-hays-specialist-recruitment-39f9b97ea8d0ebeac6688d2b93b0fbdc?source=MCF&event=Search,Central,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Senior HRIS Analyst
MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/senior-financial-analyst-micron-semiconductor-asia-operations-7f02d071ed88aee3060d9fa53d1ca46d?source=MCF&event=Search,Central,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Senior Financial Analyst
